site,model_type,train_range,val_range,test_range,train_len,val_len,test_len,precision_test,recall_test,f1_test,misclassification_rate_test
CGO,NN,"2018-01-01,2018-12-31","2019-01-01,2019-12-31","1999-12-16,2023-09-18",1888,2108,34578,0.9132186141832443,0.9424226954492416,0.9275908479138628,0.1166926947770258
CGO,RF,"2018-01-01,2018-12-31","2019-01-01,2019-12-31","1999-12-16,2023-09-18",1888,2108,34578,0.9379697728925886,0.8463754375729288,0.8898217366302472,0.1662328648273469
CMN,NN,"2018-01-01,2018-12-31","2019-01-01,2019-12-31","2003-01-03,2023-12-28",539,734,8276,0.8240656335460347,0.9669926650366748,0.8898263376221613,0.1893426776220396
CMN,RF,"2018-01-01,2018-12-31","2019-01-01,2019-12-31","2003-01-03,2023-12-28",539,734,8276,0.9104954714970698,0.5223105134474327,0.6638182171295397,0.4183180280328661
GSN,NN,"2013-01-01,2013-12-30","2014-01-02,2014-12-31","2007-11-12,2019-12-31",1066,915,10895,0.8998648648648648,0.7597261836851112,0.8238787503866378,0.261312528682882
GSN,RF,"2013-01-01,2013-12-30","2014-01-02,2014-12-31","2007-11-12,2019-12-31",1066,915,10895,0.938238341968912,0.5164860239589275,0.666225165562914,0.4163377696190913
JFJ,NN,"2018-01-01,2018-12-31","2019-01-01,2019-12-31","2003-01-01,2023-12-31",1130,1380,20860,0.8422123467366279,0.9470198675496688,0.8915464618698102,0.1834611697027804
JFJ,RF,"2018-01-01,2018-12-31","2019-01-01,2019-12-31","2003-01-01,2023-12-31",1130,1380,20860,0.921078114912847,0.6871763997591812,0.7871181297841527,0.2959731543624161
MHD,NN,"2018-01-01,2018-12-31","2019-01-03,2019-12-30","1989-02-04,2023-12-31",1344,1053,44839,0.9060833121666244,0.7940677258688333,0.8463854081708312,0.2310265616985214
MHD,RF,"2018-01-01,2018-12-31","2019-01-03,2019-12-30","1989-02-04,2023-12-31",1344,1053,44839,0.9172204290867668,0.6721110771028688,0.7757651668433053,0.3114253217065501
RPB,NN,"2018-01-01,2018-12-31","2019-01-01,2019-12-31","1999-12-15,2023-09-18",1401,1228,29275,0.8610277161380151,0.8428741800834824,0.8518542433438797,0.2351152860802733
RPB,RF,"2018-01-01,2018-12-31","2019-01-01,2019-12-31","1999-12-15,2023-09-18",1401,1228,29275,0.9108778625954198,0.4065934065934066,0.5622239236704164,0.5078052946199829
SMO,NN,"2018-01-01,2018-12-31","2019-01-01,2019-12-31","1999-12-15,2023-09-18",2335,2079,56052,0.8332426892021922,0.883433133732535,0.8576042025490871,0.2359951473631627
SMO,RF,"2018-01-01,2018-12-31","2019-01-01,2019-12-31","1999-12-15,2023-09-18",2335,2079,56052,0.8941616856849605,0.3284542027056997,0.4804307981768932,0.5714871904659959
THD,NN,"2018-01-04,2018-12-31","2019-01-01,2019-12-31","1999-12-19,2023-09-18",421,426,14398,0.9328168234643056,0.7254260630056808,0.8161526170532126,0.2637171829420752
THD,RF,"2018-01-04,2018-12-31","2019-01-01,2019-12-31","1999-12-19,2023-09-18",421,426,14398,0.9531179901301032,0.3657255982096746,0.52861408310525,0.5263231004306154
ZEP,NN,"2018-01-01,2018-12-31","2019-01-01,2019-12-31","2012-01-03,2023-12-31",1918,2038,20524,0.8678636157680109,0.9296244615664624,0.8976830018453967,0.1701909959072305
ZEP,RF,"2018-01-01,2018-12-31","2019-01-01,2019-12-31","2012-01-03,2023-12-31",1918,2038,20524,0.9519545376270019,0.6707516835527513,0.7869879346549453,0.2916098226466576
